"ID","date","SID","comic_name","source","filemask","type","destination","path","filename"
2134,"0000-00-00 00:00:00",6,"Arlo and Janis","UFS_Sunday_Comics/Arlo_and_Janis_Sunday/","aj%symd%sqc.tif","Sunday Color","/%dS%/","","aj%sW%sqc.tif"
2135,"0000-00-00 00:00:00",6,"Arlo and Janis","UFS_Sunday_Comics/Arlo_and_Janis_Sunday/","aj%symd%sql.tif","Sunday Color","/%dS%/","","aj%sW%sql.tif"
2136,"0000-00-00 00:00:00",6,"Arlo and Janis","UFS_Sunday_Comics/Arlo_and_Janis_Sunday/","aj%symd%tsc.tif","Sunday Color","/%dS%/","","aj%sW%tsc.tif"
2137,"0000-00-00 00:00:00",6,"Arlo and Janis","UFS_Sunday_Comics/Arlo_and_Janis_Sunday/","aj%symd%tsl.tif","Sunday Color","/%dS%/","","aj%sW%tsl.tif"
1831,"2016-11-15 14:47:41",6,"Ask the Doctors","NEA_Full_Service/Columns/Ask_the_Doctors/","atd%symd%.txt","Editorial","/%dymM%/","gott/","gott.%sYmd%.txt"
1490,"2011-09-27 11:19:16",6,"Astrograph","NEA_Full_Service/Columns/Astrograph/","ast%symd%.txt","Editorial","/%dymM%/","osol/","osol.%dYmd%.txt"
1851,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%comb_qs.tif","Sunday Color","/%dS%/","","bal%sW%qscmyk.tif"
1852,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%comb_ts.tif","Sunday Color","/%dS%/","","bal%sW%tscmyk.tif"
1853,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%qsc.tif","Sunday Color","/%dS%/","","bal%sW%qsc.tif"
1854,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%qsl.tif","Sunday Color","/%dS%/","","bal%sW%qsl.tif"
1855,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%tsc.tif","Sunday Color","/%dS%/","","bal%sW%tsc.tif"
1856,"0000-00-00 00:00:00",6,"Baldo","Sunday_Comics/Baldo_Sunday/","ba%symd%tsl.tif","Sunday Color","/%dS%/","","bal%sW%tsl.tif"
1159,"2009-09-01 14:10:51",6,"Baldo Color","Reed_Brennan_color_dailies/","ba_c%symd%.tif","Daily Color","/%dmd%/","","baldoc.tif"
26,"2010-11-01 16:08:42",6,"Baldo Daily","Comic_Strips/Baldo/","ba%symd%.tif","Daily B&W","/%dmd%/","","baldo.tif"
1323,"2010-05-11 16:40:40",6,"Baldo Sunday Spanish","Sunday_Comics/Baldo_Spanish_Sunday","basp%symd%.qsl.tif","Sunday Color","/%dS%/","","basp%symd%.qsl.tif"
1322,"2010-05-11 16:41:15",6,"Baldo Sunday Spanish","Sunday_Comics/Baldo_Spanish_Sunday","basp%symd%.tsc.tif","Sunday Color","/%dS%/","","basp%symd%.tsc.tif"
1324,"2010-05-11 16:41:38",6,"Baldo Sunday Spanish","Sunday_Comics/Baldo_Spanish_Sunday","basp%symd%.tsl.tif","Sunday Color","/%dS%/","","basp%symd%.tsl.tif"
2138,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%comb_hs.tif","Sunday Color","/%dS%/","","bt%sW%comb_hs.tif"
2139,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%comb_qs.tif","Sunday Color","/%dS%/","","bt%sW%comb_qs.tif"
2140,"0000-00-00 00:00:00",6,"Betty","UFS_Sunday_Comics/Betty_Sunday/","bt%symd%comb_ts.tif","Sunday Color","/%dS%/","","bt%sW%comb_ts.tif"
